t,loss,entropy,gate_open,updated
1,3.51369571685791,3.682075023651123,1,1
2,3.8888936042785645,3.767007827758789,1,1
3,3.9605801105499268,3.8181252479553223,1,1
4,3.6451539993286133,3.4546213150024414,1,1
5,3.399928092956543,3.1848034858703613,1,1
6,3.5537052154541016,3.424149990081787,1,1
7,3.707163095474243,3.4396095275878906,1,1
8,3.5195107460021973,3.4387621879577637,1,1
9,3.48921799659729,3.538180351257324,1,1
10,3.0105366706848145,3.2165653705596924,1,1
11,3.6360902786254883,3.5171384811401367,1,1
12,3.254554510116577,3.347287178039551,1,1
13,3.5584940910339355,3.5042004585266113,1,1
14,3.9309346675872803,3.534653902053833,1,1
15,3.513251543045044,3.3589749336242676,1,1
16,4.01149845123291,3.306107759475708,1,1
17,3.3613860607147217,3.0786361694335938,1,1
18,3.0993382930755615,2.8738980293273926,1,1
19,3.690965414047241,3.3930270671844482,1,1
20,3.7074356079101562,3.418428421020508,1,1
21,3.8546791076660156,3.593092679977417,1,1
22,3.673391342163086,3.3545949459075928,1,1
23,3.843407154083252,3.516279935836792,1,1
24,2.956918954849243,3.0175609588623047,1,1
25,2.9463882446289062,2.8070993423461914,1,1
26,3.2677135467529297,3.0880751609802246,1,1
27,3.3932220935821533,3.1805529594421387,1,1
28,3.5706684589385986,3.4237215518951416,1,1
29,3.397120237350464,3.3592958450317383,1,1
30,3.330463171005249,3.1030995845794678,1,1
31,3.167713165283203,3.017341136932373,1,1
32,2.9740030765533447,2.8657963275909424,1,1
33,3.070716619491577,2.929938316345215,1,1
34,3.507214069366455,3.291755437850952,1,1
35,3.4211881160736084,3.0604214668273926,1,1
36,2.946408271789551,2.687791347503662,1,1
37,3.2339468002319336,2.800171375274658,1,1
38,3.2997517585754395,2.664210557937622,1,1
39,3.056572914123535,2.801267147064209,1,1
40,3.8267362117767334,3.240229606628418,1,1
41,3.5390875339508057,3.3569793701171875,1,1
42,3.7103779315948486,3.4992024898529053,1,1
43,3.273599863052368,3.0328524112701416,1,1
44,3.424304723739624,3.087153911590576,1,1
45,2.988478422164917,2.9657859802246094,1,1
46,3.1740190982818604,2.9800214767456055,1,1
47,3.341655969619751,3.0718367099761963,1,1
48,3.604551076889038,3.2310831546783447,1,1
49,3.1048262119293213,2.9727346897125244,1,1
50,3.6754815578460693,3.230332851409912,1,1
51,3.5568392276763916,3.28104305267334,1,1
52,3.387732982635498,3.1162526607513428,1,1
53,3.5222113132476807,3.1774864196777344,1,1
54,2.986168384552002,3.0375289916992188,0,0
55,3.7200751304626465,3.3991386890411377,0,0
56,3.5570192337036133,3.2323451042175293,1,1
57,3.885361433029175,3.472792625427246,0,0
58,3.538792371749878,3.202223777770996,1,1
59,3.467264413833618,3.209202289581299,1,1
60,2.881537437438965,2.5015172958374023,0,0
61,3.087700366973877,2.707491397857666,0,0
62,3.3273134231567383,2.8511691093444824,1,1
63,3.134028673171997,2.9105582237243652,0,0
64,3.3821794986724854,3.077646493911743,1,1
65,3.0175116062164307,2.7311248779296875,0,0
66,3.177241563796997,2.8374953269958496,1,1
67,3.0940959453582764,3.0244522094726562,0,0
68,3.6774637699127197,3.359126567840576,0,0
69,3.6823880672454834,3.4447011947631836,0,0
70,3.6422278881073,3.351280450820923,1,1
71,3.66223406791687,3.4218926429748535,0,0
72,3.7479398250579834,3.6191048622131348,0,0
73,4.061995983123779,3.630923271179199,0,0
74,3.8339850902557373,3.4273829460144043,0,0
75,3.5750346183776855,3.4602420330047607,1,1
76,3.6498632431030273,3.43332839012146,1,1
77,3.763291120529175,3.469736099243164,0,0
78,3.6318750381469727,3.4662914276123047,1,1
79,3.8849642276763916,3.3439528942108154,0,0
80,3.5297627449035645,3.2819056510925293,1,1
81,3.6109747886657715,3.268489360809326,1,1
82,3.5548415184020996,3.257446765899658,1,1
83,3.7783937454223633,3.326486587524414,0,0
84,3.3449645042419434,3.038036823272705,1,1
85,3.5892751216888428,3.2093236446380615,1,1
86,3.696239948272705,3.190237522125244,0,0
87,3.7462995052337646,3.109225273132324,0,0
88,3.84759783744812,3.3414173126220703,0,0
89,3.4664180278778076,2.8845608234405518,1,1
90,3.3368160724639893,2.883962631225586,1,1
91,3.5589442253112793,3.0368833541870117,1,1
92,3.6637024879455566,3.1201202869415283,1,1
93,3.810401439666748,3.001492977142334,0,0
94,4.1056013107299805,3.328277587890625,0,0
95,4.110599994659424,3.4571831226348877,0,0
96,3.6060266494750977,2.9215660095214844,1,1
97,3.4590811729431152,2.9415924549102783,1,1
98,3.2940804958343506,2.864006996154785,0,0
99,3.5512311458587646,3.018948554992676,1,1
100,3.6645469665527344,3.053283214569092,1,1
101,3.6260294914245605,3.131148338317871,1,1
102,3.6936514377593994,3.2360873222351074,0,0
103,3.5462794303894043,3.0650219917297363,1,1
104,3.435783624649048,3.0572495460510254,1,1
105,3.6591055393218994,3.1036829948425293,1,1
106,2.973881244659424,2.7727890014648438,0,0
107,3.1432600021362305,2.95884370803833,0,0
108,3.4989476203918457,3.2220211029052734,1,1
109,3.50679874420166,3.1461949348449707,1,1
110,3.87471604347229,3.2455577850341797,0,0
111,3.0247015953063965,2.8465654850006104,0,0
112,2.6647233963012695,2.546583652496338,0,0
113,3.072110891342163,2.915316581726074,0,0
114,2.9893388748168945,2.9427881240844727,0,0
115,3.3995726108551025,3.0293631553649902,1,1
