t,loss,entropy,gate_open,updated
1,3.51369571685791,3.682075023651123,1,1
2,3.8888936042785645,3.767007827758789,1,1
3,3.9605844020843506,3.8181264400482178,1,1
4,3.649919271469116,3.4568405151367188,1,1
5,3.3980934619903564,3.1895270347595215,1,1
6,3.556588888168335,3.4420459270477295,1,1
7,3.716740369796753,3.467487335205078,1,1
8,3.5360119342803955,3.452296257019043,1,1
9,3.489595413208008,3.5552144050598145,1,1
10,3.0284616947174072,3.209627151489258,1,1
11,3.6351943016052246,3.5282227993011475,1,1
12,3.2552413940429688,3.3506174087524414,1,1
13,3.539294481277466,3.5430960655212402,1,1
14,3.9272944927215576,3.52345609664917,1,1
15,3.5283055305480957,3.379263162612915,1,1
16,3.998167037963867,3.3062100410461426,1,1
17,3.3293161392211914,3.0687124729156494,1,1
18,3.116777181625366,2.848806381225586,1,1
19,3.6692609786987305,3.3827767372131348,1,1
20,3.7363076210021973,3.4154679775238037,1,1
21,3.8614423274993896,3.6166176795959473,1,1
22,3.660861015319824,3.326478958129883,1,1
23,3.8205366134643555,3.485888719558716,1,1
24,2.980928421020508,2.959836721420288,1,1
25,2.942795515060425,2.7976443767547607,1,1
26,3.243340492248535,3.0149545669555664,1,1
27,3.401414155960083,3.135747194290161,1,1
28,3.5549910068511963,3.356060743331909,1,1
29,3.3865549564361572,3.3361339569091797,1,1
30,3.3113036155700684,3.0913891792297363,1,1
31,3.1423215866088867,2.9487380981445312,1,1
32,2.942595958709717,2.83343505859375,1,1
33,3.0630335807800293,2.899293899536133,1,1
34,3.4797346591949463,3.273012161254883,1,1
35,3.438378095626831,3.057482957839966,1,1
36,2.9748737812042236,2.6838581562042236,1,1
37,3.256970167160034,2.732089042663574,1,1
38,3.3280253410339355,2.6041650772094727,1,1
39,3.073500156402588,2.786620616912842,1,1
40,3.803370714187622,3.3299503326416016,1,1
41,3.569525718688965,3.3590874671936035,1,1
42,3.7268874645233154,3.5136332511901855,1,1
43,3.2724802494049072,3.0183513164520264,1,1
44,3.4522173404693604,3.0819289684295654,1,1
45,2.9944140911102295,2.9196298122406006,1,1
46,3.182063341140747,2.9492247104644775,1,1
47,3.3164873123168945,3.042818546295166,1,1
48,3.588489532470703,3.218191146850586,1,1
49,3.076390504837036,2.9656596183776855,1,1
50,3.6547980308532715,3.192909002304077,1,1
51,3.565443992614746,3.246338367462158,1,1
52,3.3638916015625,3.1261024475097656,0,0
53,3.4879934787750244,3.1988792419433594,0,0
54,2.9616172313690186,3.00051212310791,0,0
55,3.756507635116577,3.408576726913452,1,1
56,3.5344347953796387,3.224449396133423,1,1
57,3.860147714614868,3.4837403297424316,1,1
58,3.488283634185791,3.143187999725342,0,0
59,3.454974412918091,3.153350830078125,0,0
60,2.8730835914611816,2.5463707447052,0,0
61,3.0313572883605957,2.7088515758514404,0,0
62,3.2669153213500977,2.89141845703125,0,0
63,3.1433558464050293,2.9456329345703125,0,0
64,3.380873203277588,3.0748496055603027,0,0
65,2.996474027633667,2.753441333770752,0,0
66,3.101616621017456,2.818141460418701,0,0
67,3.0614588260650635,3.023711681365967,0,0
68,3.659832239151001,3.317800998687744,1,1
69,3.6524739265441895,3.41888427734375,1,1
70,3.565004587173462,3.262174129486084,1,1
71,3.592519998550415,3.336244583129883,1,1
72,3.7143874168395996,3.545806407928467,1,1
73,3.945119857788086,3.509608268737793,1,1
74,3.7137296199798584,3.2926387786865234,1,1
75,3.427809238433838,3.266982078552246,1,1
76,3.503793716430664,3.206437587738037,0,0
77,3.6445305347442627,3.2545905113220215,1,1
78,3.4834628105163574,3.2728776931762695,1,1
79,3.816258668899536,3.2517566680908203,1,1
80,3.392725944519043,3.148482084274292,0,0
81,3.5144946575164795,3.2031357288360596,0,0
82,3.511510133743286,3.267348051071167,1,1
83,3.695345640182495,3.4208478927612305,1,1
84,3.230180263519287,3.0271360874176025,0,0
85,3.5406975746154785,3.361565113067627,1,1
86,3.6012542247772217,3.2606732845306396,1,1
87,3.6283459663391113,3.262937307357788,1,1
88,3.7374050617218018,3.472496271133423,1,1
89,3.349306583404541,3.057703971862793,0,0
90,3.3312649726867676,2.948362112045288,0,0
91,3.5805504322052,3.148451089859009,0,0
92,3.718749761581421,3.1875150203704834,0,0
93,3.900305986404419,3.1283411979675293,0,0
94,4.205625057220459,3.498546600341797,1,1
95,4.209749221801758,3.5413055419921875,1,1
96,3.682279348373413,3.0257081985473633,0,0
97,3.5026509761810303,3.13070011138916,0,0
98,3.308253526687622,3.030569076538086,0,0
99,3.538043260574341,3.110804557800293,0,0
100,3.6969380378723145,3.1890721321105957,0,0
101,3.6506457328796387,3.2792344093322754,1,1
102,3.7917871475219727,3.342487096786499,1,1
103,3.5499660968780518,3.177539587020874,0,0
104,3.5045628547668457,3.2001004219055176,0,0
105,3.7656102180480957,3.2563304901123047,1,1
106,3.092996120452881,2.874616861343384,0,0
107,3.2464098930358887,3.0622615814208984,0,0
108,3.6297638416290283,3.270294666290283,1,1
109,3.5584957599639893,3.143131971359253,0,0
110,4.022617816925049,3.233767509460449,1,1
111,3.1105406284332275,2.962829828262329,0,0
112,2.804964303970337,2.706397771835327,0,0
113,3.1329092979431152,3.032386541366577,0,0
114,2.998342990875244,2.983497142791748,0,0
115,3.4744670391082764,3.1442246437072754,0,0
116,3.4759750366210938,3.1239256858825684,0,0
