t,loss,entropy,gate_open,updated
1,3.51369571685791,3.682075023651123,1,1
2,3.8889060020446777,3.767010450363159,1,1
3,3.9586803913116455,3.8124260902404785,1,1
4,3.6441006660461426,3.4504599571228027,1,1
5,3.405510425567627,3.195098876953125,1,1
6,3.5513408184051514,3.425842761993408,1,1
7,3.707763433456421,3.431170701980591,1,1
8,3.5403895378112793,3.395742177963257,1,1
9,3.46146297454834,3.4473378658294678,1,1
10,3.0038974285125732,3.1965770721435547,1,1
11,3.6141276359558105,3.475545883178711,1,1
12,3.2413904666900635,3.3069357872009277,1,1
13,3.541640043258667,3.453028917312622,1,1
14,3.913137674331665,3.506544589996338,1,1
15,3.5188369750976562,3.344074249267578,1,1
16,4.034881114959717,3.2593612670898438,1,1
17,3.378958225250244,3.068182945251465,1,1
18,3.101303815841675,2.8903698921203613,1,1
19,3.687657356262207,3.4072556495666504,1,1
20,3.7407360076904297,3.424255609512329,1,1
21,3.8629281520843506,3.6332170963287354,1,1
22,3.6854021549224854,3.3451290130615234,1,1
23,3.835698366165161,3.5018935203552246,1,1
24,2.945937395095825,2.9472498893737793,1,1
25,2.937223434448242,2.8147153854370117,1,1
26,3.2641220092773438,3.020916223526001,1,1
27,3.3856592178344727,3.1934196949005127,1,1
28,3.5922935009002686,3.408637285232544,1,1
29,3.4169504642486572,3.3645009994506836,1,1
30,3.316197633743286,3.123746395111084,1,1
31,3.188375234603882,2.9834413528442383,1,1
32,2.9682180881500244,2.86057448387146,1,1
33,3.0921072959899902,2.9006991386413574,1,1
34,3.5167887210845947,3.261542558670044,1,1
35,3.4102184772491455,3.073383331298828,1,1
36,2.937803030014038,2.7003562450408936,1,1
37,3.2366271018981934,2.7748005390167236,1,1
38,3.2656307220458984,2.6196980476379395,1,1
39,3.0415802001953125,2.747785806655884,1,1
40,3.811488628387451,3.265031576156616,1,1
41,3.5356953144073486,3.358682155609131,1,1
42,3.7240967750549316,3.495171308517456,1,1
43,3.2430639266967773,2.9918088912963867,1,1
44,3.4751341342926025,3.1084675788879395,1,1
45,2.99548602104187,2.9166176319122314,1,1
46,3.1801960468292236,3.016942024230957,1,1
47,3.318565845489502,3.075788974761963,1,1
48,3.616570234298706,3.2421774864196777,1,1
49,3.070979595184326,2.974618434906006,1,1
50,3.629561424255371,3.1883318424224854,1,1
51,3.5506129264831543,3.237652540206909,1,1
52,3.3823091983795166,3.11848783493042,0,0
53,3.521461009979248,3.1519572734832764,0,0
54,2.9925358295440674,3.0180792808532715,1,1
55,3.75449538230896,3.4265966415405273,1,1
56,3.508674144744873,3.1879427433013916,0,0
57,3.8888213634490967,3.470562219619751,0,0
58,3.5330944061279297,3.111421585083008,1,1
59,3.4611198902130127,3.1360316276550293,0,0
60,2.861471652984619,2.5039031505584717,0,0
61,3.1237385272979736,2.637178421020508,1,1
62,3.292120933532715,2.8329241275787354,1,1
63,3.0935850143432617,2.9108946323394775,0,0
64,3.358760356903076,3.0263774394989014,1,1
65,3.0039680004119873,2.6682021617889404,0,0
66,3.1679883003234863,2.7999484539031982,0,0
67,3.0797829627990723,3.00480318069458,1,1
68,3.657111167907715,3.2776761054992676,1,1
69,3.655409336090088,3.3686013221740723,1,1
70,3.5736474990844727,3.198047637939453,1,1
71,3.5617170333862305,3.267202377319336,0,0
72,3.6971018314361572,3.516878604888916,1,1
73,3.9725959300994873,3.502258062362671,0,0
74,3.7530860900878906,3.264643430709839,1,1
75,3.4482321739196777,3.2391350269317627,1,1
76,3.557774543762207,3.1721043586730957,1,1
77,3.641975164413452,3.2161169052124023,0,0
78,3.5116803646087646,3.2672243118286133,1,1
79,3.8434414863586426,3.1950767040252686,1,1
80,3.455735445022583,3.1102967262268066,0,0
81,3.5225114822387695,3.1521100997924805,1,1
82,3.497490406036377,3.198589563369751,0,0
83,3.732232093811035,3.323507785797119,0,0
84,3.3050615787506104,2.9849209785461426,0,0
85,3.5594146251678467,3.285400629043579,0,0
86,3.670201301574707,3.2774345874786377,0,0
87,3.6601178646087646,3.191481113433838,0,0
88,3.8088366985321045,3.390018939971924,1,1
89,3.427690267562866,2.9029507637023926,1,1
90,3.3414323329925537,2.9525365829467773,0,0
91,3.5464258193969727,3.1049559116363525,1,1
92,3.6934103965759277,3.2255029678344727,1,1
93,3.8587591648101807,3.1191258430480957,1,1
94,4.1290717124938965,3.4893012046813965,1,1
95,4.105533123016357,3.554047107696533,1,1
96,3.5337650775909424,3.072413921356201,0,0
97,3.466801166534424,3.0479629039764404,0,0
98,3.2743136882781982,2.9082188606262207,0,0
99,3.5603187084198,3.0465855598449707,1,1
100,3.658923864364624,3.158771514892578,1,1
101,3.634925127029419,3.2985587120056152,1,1
102,3.7159674167633057,3.3758082389831543,0,0
103,3.5311782360076904,3.181508779525757,1,1
104,3.4273200035095215,3.1587958335876465,0,0
105,3.732787609100342,3.218109607696533,0,0
106,3.0047945976257324,2.8361949920654297,1,1
107,3.18534255027771,2.9897141456604004,0,0
108,3.5591423511505127,3.2431740760803223,0,0
109,3.5200836658477783,3.199164390563965,1,1
110,3.9360501766204834,3.2436938285827637,1,1
111,2.993090867996216,2.869826316833496,0,0
112,2.829688310623169,2.566422939300537,0,0
113,3.0129666328430176,2.8903183937072754,0,0
114,2.8831396102905273,2.9399044513702393,0,0
115,3.35412335395813,3.0319199562072754,1,1
116,3.490814447402954,3.1315832138061523,0,0
117,3.672527313232422,3.2090232372283936,1,1
118,3.588575839996338,3.1339902877807617,1,1
119,3.531447649002075,3.3606739044189453,1,1
120,3.674042224884033,3.436394214630127,1,1
121,3.720046281814575,3.3907084465026855,1,1
122,3.7672910690307617,3.4629948139190674,1,1
123,4.1245436668396,3.6401987075805664,1,1
124,3.775911808013916,3.4517393112182617,0,0
125,3.5831735134124756,3.260333776473999,1,1
126,3.797752857208252,3.4368581771850586,1,1
127,3.6117498874664307,3.3396177291870117,1,1
128,3.7625157833099365,3.284167766571045,0,0
129,3.6644980907440186,3.197310447692871,0,0
130,3.6420507431030273,3.006077289581299,1,1
131,3.4139997959136963,2.956460952758789,1,1
132,3.2865288257598877,2.858186960220337,1,1
133,3.2137482166290283,2.8934075832366943,0,0
134,3.1523547172546387,2.8386964797973633,1,1
135,3.4834489822387695,3.088270664215088,1,1
136,3.2813234329223633,3.0232152938842773,1,1
137,3.39595365524292,3.0182149410247803,1,1
138,3.4220590591430664,3.086090564727783,1,1
139,3.363903045654297,3.155611991882324,0,0
140,3.2564260959625244,3.042263984680176,1,1
141,3.4544079303741455,3.1112279891967773,1,1
142,3.299236297607422,3.262188673019409,1,1
143,3.552915096282959,3.1562485694885254,1,1
144,3.3432388305664062,2.9028091430664062,1,1
145,3.385167360305786,3.0876777172088623,1,1
146,3.1940157413482666,2.8414359092712402,0,0
147,3.4832496643066406,2.918119192123413,1,1
148,3.628598928451538,3.002201557159424,1,1
149,3.5109732151031494,3.147169589996338,0,0
150,3.243363380432129,2.9966721534729004,1,1
151,3.389930248260498,2.9557247161865234,1,1
152,3.2800018787384033,3.0039467811584473,0,0
153,3.667595863342285,2.990386962890625,0,0
154,3.2418205738067627,2.832444429397583,1,1
155,3.277191638946533,2.858865976333618,1,1
156,3.7213587760925293,3.0271058082580566,1,1
157,4.0706329345703125,3.4328243732452393,1,1
158,3.7621662616729736,3.3874001502990723,1,1
159,3.8622052669525146,3.2330758571624756,1,1
160,3.5489091873168945,2.916897773742676,0,0
161,3.708045721054077,3.1585886478424072,0,0
162,3.554962396621704,2.9700541496276855,1,1
163,3.1056604385375977,2.878312587738037,0,0
164,3.293163776397705,2.760468006134033,0,0
165,3.1212878227233887,2.939040422439575,0,0
166,3.5965282917022705,2.9783506393432617,0,0
167,2.760737895965576,2.6861412525177,0,0
168,3.21232008934021,2.8972511291503906,1,1
169,3.2605648040771484,3.068495273590088,0,0
170,3.0167410373687744,2.866238594055176,0,0
171,3.3359885215759277,3.096433639526367,0,0
172,3.804323434829712,3.211794853210449,1,1
173,3.7691216468811035,3.255793571472168,1,1
174,3.2814249992370605,2.7414262294769287,1,1
175,3.0815060138702393,2.9063382148742676,0,0
176,3.086639642715454,2.745049476623535,0,0
177,2.6973819732666016,2.2803120613098145,0,0
178,3.0798776149749756,2.7660903930664062,0,0
179,3.6018025875091553,3.084665536880493,1,1
180,3.438976526260376,3.2387757301330566,1,1
181,3.5019242763519287,3.2631709575653076,0,0
182,3.4362001419067383,3.0888428688049316,0,0
183,3.713069200515747,3.3589630126953125,0,0
184,3.5065321922302246,3.1553561687469482,1,1
185,3.5968499183654785,3.280982255935669,1,1
186,3.79498553276062,3.3092854022979736,0,0
187,3.7077040672302246,3.265826463699341,1,1
188,3.8608899116516113,3.3020851612091064,0,0
189,3.553978681564331,3.1799426078796387,0,0
190,3.4982659816741943,3.090073347091675,0,0
191,3.544753313064575,3.1766185760498047,0,0
192,3.7342379093170166,3.28737473487854,1,1
193,3.5973052978515625,3.220473289489746,0,0
194,3.0335538387298584,2.9854836463928223,0,0
195,3.1546599864959717,3.0842056274414062,0,0
196,3.6309814453125,3.256997585296631,1,1
197,3.5041370391845703,3.219668388366699,1,1
198,3.489896059036255,3.273758888244629,1,1
199,3.2789201736450195,3.094236373901367,0,0
200,3.3410205841064453,3.0774712562561035,0,0
201,3.5444040298461914,3.3231472969055176,0,0
202,3.5647058486938477,3.2832388877868652,0,0
203,3.635369300842285,3.2209391593933105,0,0
204,3.6572177410125732,3.18593168258667,0,0
205,3.578845977783203,3.237149715423584,1,1
206,3.271338701248169,2.8966500759124756,0,0
207,3.3011233806610107,3.0264196395874023,0,0
208,3.2931525707244873,3.05472469329834,0,0
209,3.473046064376831,3.191706657409668,1,1
210,3.21673321723938,2.996812343597412,0,0
211,3.362409830093384,3.0589542388916016,1,1
212,3.5086421966552734,2.964101791381836,0,0
213,4.017899990081787,3.2748961448669434,1,1
214,3.7361361980438232,3.1060025691986084,0,0
215,3.97602915763855,3.313821315765381,1,1
216,3.645413637161255,3.1853220462799072,0,0
217,3.864140748977661,3.2883780002593994,1,1
218,3.7045581340789795,3.1898515224456787,0,0
219,3.457305669784546,2.911926031112671,1,1
220,2.9824166297912598,2.724904775619507,1,1
221,3.124849319458008,2.7786734104156494,1,1
222,3.0320496559143066,2.8091206550598145,1,1
223,2.6989402770996094,2.6049180030822754,0,0
224,2.8864543437957764,2.5844645500183105,0,0
225,3.0624542236328125,2.9127511978149414,0,0
226,2.8145687580108643,2.742739200592041,1,1
227,2.8715624809265137,2.723280429840088,0,0
228,2.936122417449951,2.713658571243286,0,0
229,3.424470901489258,3.040813446044922,0,0
230,3.1337549686431885,2.9379749298095703,0,0
231,3.162036418914795,2.984865188598633,0,0
232,3.147306203842163,2.8873043060302734,0,0
233,3.401517868041992,3.084533214569092,0,0
234,2.7836897373199463,2.718376398086548,0,0
235,3.1477391719818115,3.02146315574646,0,0
236,3.101900339126587,2.9500811100006104,0,0
237,3.2944605350494385,2.8394033908843994,0,0
238,3.413013458251953,3.118854522705078,0,0
239,3.184645652770996,2.9575986862182617,0,0
240,2.883387565612793,2.7975525856018066,0,0
241,3.568392276763916,3.1933064460754395,1,1
242,2.9971611499786377,2.78964900970459,0,0
243,3.690589189529419,3.3972089290618896,1,1
244,3.0630314350128174,2.889035940170288,0,0
245,3.219743251800537,2.9655823707580566,1,1
246,3.5718941688537598,3.2608208656311035,1,1
247,3.5254361629486084,3.138784885406494,1,1
248,3.334758996963501,2.879983425140381,0,0
249,3.3623764514923096,3.0920157432556152,1,1
250,3.5680742263793945,3.2787485122680664,1,1
251,3.4181902408599854,2.9391701221466064,1,1
252,3.7493531703948975,3.2479395866394043,1,1
253,3.3789849281311035,2.94973087310791,0,0
254,3.4485414028167725,3.1688647270202637,0,0
255,3.670454263687134,2.92641282081604,1,1
256,4.004372596740723,3.095289707183838,1,1
257,3.477393627166748,3.113456964492798,0,0
258,3.479146957397461,3.088494300842285,0,0
259,3.7334511280059814,3.1031084060668945,1,1
260,3.748298168182373,3.034524440765381,1,1
261,3.762481689453125,3.2541327476501465,1,1
262,3.639551877975464,3.1137566566467285,0,0
263,3.843032121658325,3.2788805961608887,1,1
264,3.631227493286133,3.016819477081299,1,1
265,3.1672255992889404,2.676867961883545,0,0
266,3.555572032928467,2.99998140335083,1,1
267,3.1422109603881836,2.7226014137268066,1,1
268,2.745323896408081,2.5973634719848633,0,0
269,3.1275177001953125,2.9884791374206543,1,1
270,3.1030826568603516,2.9568233489990234,0,0
271,3.439653158187866,2.970705509185791,1,1
