t,loss,entropy,gate_open,updated
1,3.51369571685791,3.682075023651123,1,1
2,3.8888936042785645,3.767007827758789,1,1
3,3.960587501525879,3.8181419372558594,1,1
4,3.6461730003356934,3.4658026695251465,1,1
5,3.4010086059570312,3.2006990909576416,1,1
6,3.5547451972961426,3.4383511543273926,1,1
7,3.7131810188293457,3.449618339538574,1,1
8,3.5219385623931885,3.4315662384033203,1,1
9,3.4894795417785645,3.4971346855163574,1,1
10,3.0034103393554688,3.206411361694336,1,1
11,3.6338295936584473,3.5132334232330322,1,1
12,3.2428276538848877,3.3256304264068604,1,1
13,3.5406267642974854,3.490537166595459,1,1
14,3.9248757362365723,3.524653911590576,1,1
15,3.5371556282043457,3.3820862770080566,1,1
16,4.010301113128662,3.2881102561950684,1,1
17,3.339979887008667,3.09497332572937,1,1
18,3.118778944015503,2.8861136436462402,1,1
19,3.6880924701690674,3.40765380859375,1,1
20,3.7093734741210938,3.40653920173645,1,1
21,3.840263843536377,3.6189332008361816,1,1
22,3.670560836791992,3.3340766429901123,1,1
23,3.834442615509033,3.480565071105957,1,1
24,2.9814467430114746,3.0063364505767822,1,1
25,2.948716878890991,2.8099021911621094,1,1
26,3.2623915672302246,3.038961410522461,1,1
27,3.407602310180664,3.126007080078125,1,1
28,3.56087064743042,3.3522212505340576,1,1
29,3.4199774265289307,3.3081467151641846,1,1
30,3.2895619869232178,3.0796780586242676,1,1
31,3.1597602367401123,2.9439947605133057,1,1
32,2.977609872817993,2.8325157165527344,1,1
33,3.0876593589782715,2.8917088508605957,1,1
34,3.4787845611572266,3.227522611618042,1,1
35,3.406675338745117,3.0755293369293213,1,1
36,2.9473400115966797,2.70328688621521,1,1
37,3.225766897201538,2.7677502632141113,1,1
38,3.285691261291504,2.6283516883850098,1,1
39,3.053370237350464,2.7484841346740723,1,1
40,3.83853816986084,3.2541842460632324,1,1
41,3.533602714538574,3.349954843521118,1,1
42,3.7216758728027344,3.4981348514556885,1,1
43,3.2684595584869385,3.0384767055511475,1,1
44,3.43548846244812,3.085853099822998,1,1
45,3.027151346206665,3.0238850116729736,1,1
46,3.173825740814209,3.0042309761047363,1,1
47,3.3245012760162354,3.0577168464660645,1,1
48,3.6011078357696533,3.2416884899139404,1,1
49,3.0669500827789307,3.003713607788086,1,1
50,3.667071580886841,3.2066287994384766,1,1
51,3.565643787384033,3.251628875732422,1,1
52,3.376091480255127,3.1017866134643555,0,0
53,3.5469586849212646,3.2102465629577637,0,0
54,2.990645408630371,3.046476364135742,1,1
55,3.729973554611206,3.451524257659912,1,1
56,3.5662784576416016,3.283463954925537,0,0
57,3.913205146789551,3.4757590293884277,1,1
58,3.5059003829956055,3.160782814025879,0,0
59,3.503019094467163,3.1920785903930664,1,1
60,2.8738880157470703,2.5419909954071045,0,0
61,3.084343433380127,2.739572286605835,1,1
62,3.2907471656799316,2.911900043487549,1,1
63,3.082271099090576,2.940192222595215,0,0
64,3.314906597137451,3.0673723220825195,1,1
65,3.0124671459198,2.6893296241760254,0,0
66,3.142442226409912,2.825437068939209,0,0
67,3.0861923694610596,2.965318441390991,1,1
68,3.670597791671753,3.273458957672119,1,1
69,3.641710042953491,3.3292603492736816,1,1
70,3.5699472427368164,3.1776747703552246,1,1
71,3.5815858840942383,3.2479500770568848,1,1
72,3.7032291889190674,3.4365296363830566,1,1
73,3.9425504207611084,3.40834903717041,0,0
74,3.7563984394073486,3.197261333465576,1,1
75,3.4617764949798584,3.2014994621276855,1,1
76,3.531975030899048,3.15313982963562,1,1
77,3.664776563644409,3.1922669410705566,1,1
78,3.456432342529297,3.248232364654541,0,0
79,3.8422718048095703,3.1762819290161133,1,1
80,3.4132494926452637,3.147005796432495,0,0
81,3.541060209274292,3.1623177528381348,1,1
82,3.490652322769165,3.271435260772705,0,0
83,3.707304000854492,3.3577146530151367,0,0
84,3.265007495880127,3.0154013633728027,0,0
85,3.5607407093048096,3.3484697341918945,0,0
86,3.661400318145752,3.2659878730773926,0,0
87,3.7272677421569824,3.210919141769409,0,0
88,3.827704906463623,3.4418535232543945,1,1
89,3.433861494064331,2.9980385303497314,1,1
90,3.3415985107421875,2.953326940536499,0,0
91,3.582613945007324,3.1329188346862793,1,1
92,3.664698362350464,3.2012686729431152,1,1
93,3.829035520553589,3.13618803024292,1,1
94,4.128641128540039,3.5245018005371094,1,1
95,4.107424736022949,3.566649913787842,1,1
96,3.5779097080230713,3.042252779006958,0,0
97,3.5030713081359863,3.100615978240967,0,0
98,3.278109073638916,2.9979424476623535,0,0
99,3.564004898071289,3.1592249870300293,1,1
100,3.7003519535064697,3.208498239517212,1,1
101,3.631404161453247,3.315842628479004,1,1
102,3.7200989723205566,3.40069580078125,0,0
103,3.5838236808776855,3.269280195236206,1,1
104,3.4483115673065186,3.176231861114502,0,0
105,3.744481086730957,3.229905843734741,0,0
106,3.031440258026123,2.8566718101501465,1,1
107,3.217616319656372,3.0362586975097656,0,0
108,3.5671825408935547,3.2502474784851074,0,0
109,3.5299346446990967,3.1780576705932617,1,1
110,3.993839740753174,3.2522308826446533,1,1
111,3.0061395168304443,2.854039430618286,0,0
112,2.8517820835113525,2.6151084899902344,0,0
113,3.02830171585083,2.9233624935150146,1,1
114,2.8908181190490723,2.965841054916382,0,0
115,3.3647713661193848,3.019951820373535,1,1
116,3.4995503425598145,3.127063274383545,0,0
