t,loss,entropy,gate_open,updated
1,3.51369571685791,3.682075023651123,0,0
2,3.937716007232666,3.9489083290100098,1,1
3,3.9590256214141846,3.9943032264709473,1,1
4,3.6922056674957275,3.6386632919311523,1,1
5,3.4619994163513184,3.3924484252929688,0,0
6,3.647702693939209,3.6153016090393066,1,1
7,3.7833759784698486,3.607039451599121,1,1
8,3.626030445098877,3.589592218399048,1,1
9,3.558746099472046,3.5865557193756104,0,0
10,3.00605845451355,3.2703773975372314,1,1
11,3.6033775806427,3.4991211891174316,1,1
12,3.263950824737549,3.371504783630371,1,1
13,3.575263261795044,3.4604711532592773,0,0
14,3.9275119304656982,3.578339099884033,0,0
15,3.5509986877441406,3.433476448059082,0,0
16,4.091065406799316,3.4342947006225586,1,1
17,3.3590900897979736,3.234103202819824,0,0
18,3.159921407699585,3.0441675186157227,0,0
19,3.661851167678833,3.506495237350464,0,0
20,3.792067289352417,3.577601671218872,0,0
21,3.9440135955810547,3.656792402267456,0,0
22,3.820258855819702,3.481353759765625,1,1
23,3.9512298107147217,3.6049766540527344,1,1
24,3.063624143600464,3.035958766937256,0,0
25,3.0434906482696533,2.918256998062134,1,1
26,3.327721357345581,3.1527323722839355,1,1
27,3.435598134994507,3.2721002101898193,0,0
28,3.5669007301330566,3.4587554931640625,1,1
29,3.4652462005615234,3.4235987663269043,0,0
30,3.444082736968994,3.158888339996338,1,1
31,3.1693618297576904,3.014138698577881,0,0
32,2.9820432662963867,2.962002754211426,0,0
33,3.1164984703063965,2.9920907020568848,1,1
34,3.5129668712615967,3.3022916316986084,0,0
35,3.50368595123291,3.150832176208496,1,1
36,3.0026357173919678,2.7977957725524902,1,1
37,3.3352692127227783,2.9984257221221924,1,1
38,3.264376640319824,2.975611448287964,0,0
39,3.087125539779663,3.0072507858276367,0,0
40,3.8017661571502686,3.4324541091918945,0,0
41,3.548198699951172,3.438793420791626,1,1
42,3.722832202911377,3.5620522499084473,0,0
43,3.3194594383239746,3.1104416847229004,1,1
44,3.4689276218414307,3.183464765548706,1,1
45,2.9795029163360596,3.0053117275238037,1,1
46,3.1554834842681885,3.0494067668914795,0,0
47,3.305269479751587,3.1104612350463867,1,1
48,3.5924744606018066,3.259617805480957,1,1
49,3.1435232162475586,3.0056819915771484,1,1
50,3.649204730987549,3.2003140449523926,1,1
51,3.555232048034668,3.295605182647705,0,0
52,3.4562292098999023,3.1961324214935303,0,0
