t,ce
1,1.9959713220596313
2,2.6537771224975586
3,2.6511611938476562
4,2.5465831756591797
5,2.5893430709838867
6,2.5687010288238525
7,2.6813485622406006
8,2.454277753829956
9,2.1192586421966553
10,2.2834959030151367
11,2.6217200756073
12,2.4100730419158936
13,2.4399046897888184
14,2.9884023666381836
15,2.641594171524048
16,3.0330381393432617
17,2.6031622886657715
18,2.356920003890991
19,2.6091678142547607
20,2.6776692867279053
21,2.917628765106201
22,2.798496723175049
23,2.918470859527588
24,2.2984893321990967
25,2.388953447341919
26,2.444812297821045
27,2.3790791034698486
28,2.161390781402588
29,2.3260066509246826
30,2.0459468364715576
31,2.088869333267212
32,2.025984287261963
33,2.1074721813201904
34,2.3520281314849854
35,2.213182210922241
36,2.083608627319336
37,2.338162899017334
38,2.147365093231201
39,2.132449150085449
40,2.8974125385284424
41,2.7917771339416504
42,2.864739179611206
43,2.367067575454712
44,2.589595079421997
45,2.1166632175445557
46,2.432219982147217
47,2.3189492225646973
48,2.5841095447540283
49,2.1273186206817627
50,2.6462254524230957
51,2.4175145626068115
52,2.3780174255371094
53,2.4177210330963135
54,2.1741719245910645
55,2.1338698863983154
56,2.143030881881714
57,2.5407583713531494
58,2.4741950035095215
59,2.35726261138916
60,1.9824724197387695
61,2.126514434814453
62,2.1142048835754395
63,2.2547385692596436
64,2.329476833343506
65,1.9040448665618896
66,2.02748966217041
67,2.1135940551757812
68,1.8779116868972778
69,1.82244074344635
70,2.0271527767181396
71,1.9634923934936523
72,2.0120882987976074
73,2.250732421875
74,2.1053082942962646
75,2.1429741382598877
76,1.5348471403121948
77,1.779693365097046
78,1.7104781866073608
79,1.8974361419677734
80,1.7829948663711548
81,2.065662145614624
82,1.8664062023162842
83,2.1840763092041016
84,1.6808592081069946
85,2.0173230171203613
86,2.052272081375122
87,2.1938719749450684
88,2.1920676231384277
89,1.6622052192687988
90,1.8278822898864746
91,2.356809139251709
92,2.4888460636138916
93,2.397132158279419
94,2.7584283351898193
95,2.7334282398223877
96,2.457530975341797
97,2.4901790618896484
98,2.1799144744873047
99,2.2259018421173096
100,2.570681571960449
101,2.3894991874694824
102,2.41965913772583
103,2.510667085647583
104,2.5158114433288574
105,2.757594585418701
106,2.1418371200561523
107,2.1715197563171387
108,2.6114513874053955
109,2.7259902954101562
110,2.8275043964385986
111,2.006282329559326
112,1.7679109573364258
113,1.8823273181915283
114,2.0889053344726562
115,2.296787738800049
116,2.4591658115386963
117,2.4893133640289307
118,2.4953577518463135
119,2.4091951847076416
120,2.3546226024627686
121,2.354616641998291
122,2.509666919708252
123,2.7939648628234863
124,2.650371789932251
125,2.5256316661834717
126,2.597719430923462
127,2.4278836250305176
128,2.7513513565063477
129,2.5607573986053467
130,2.685576915740967
131,2.358415365219116
132,2.476210594177246
133,2.290593385696411
134,2.41819167137146
135,2.33750057220459
136,2.203495502471924
137,2.1969144344329834
138,2.4275386333465576
139,2.416945457458496
140,2.2822763919830322
141,2.145016670227051
142,2.312434673309326
143,2.133005380630493
144,2.3445286750793457
145,2.2764461040496826
146,2.225902795791626
147,2.40014910697937
148,2.649925470352173
149,2.569188356399536
150,2.354781150817871
151,2.5151500701904297
152,2.5148613452911377
153,2.5406761169433594
154,2.265526056289673
155,2.0826950073242188
156,2.3900458812713623
157,2.6845505237579346
158,2.6028316020965576
159,2.6726837158203125
160,2.343207359313965
161,2.6866848468780518
162,2.6198408603668213
163,1.6454041004180908
164,2.196146011352539
165,2.1286439895629883
166,2.391611099243164
167,1.9527502059936523
168,1.8912936449050903
169,2.053899049758911
170,1.9192957878112793
171,2.252753973007202
172,2.6826701164245605
173,2.6079161167144775
174,2.2287404537200928
175,2.0131967067718506
176,2.2757985591888428
177,1.8316539525985718
178,1.9957518577575684
179,2.516190767288208
180,2.0088937282562256
181,2.3371992111206055
182,2.37363600730896
183,2.667128086090088
184,2.46985125541687
185,2.7144711017608643
186,2.9060797691345215
187,2.696009874343872
188,2.85166072845459
189,2.8170266151428223
190,2.7312397956848145
191,2.740367889404297
192,2.9629287719726562
193,2.635033369064331
194,1.9683289527893066
195,2.196549654006958
196,2.659306287765503
197,2.2328710556030273
198,2.3758769035339355
199,2.1624162197113037
200,2.108015537261963
201,2.3605191707611084
202,2.336733818054199
203,2.686429262161255
204,2.8129169940948486
205,2.365009069442749
206,2.10781192779541
207,2.404742956161499
208,2.5183095932006836
209,2.22775936126709
210,2.3476200103759766
211,2.2952053546905518
212,2.57007098197937
213,2.826050043106079
214,2.8225953578948975
215,2.866575241088867
216,2.4889869689941406
217,2.8274736404418945
218,2.610206127166748
219,2.443910837173462
220,2.2358758449554443
221,2.4378459453582764
222,1.7372671365737915
223,1.4114326238632202
224,1.723696231842041
225,1.92543363571167
226,1.6181350946426392
227,1.847246766090393
228,1.7190390825271606
229,2.2354297637939453
