t,cka,drift,heldout_dom,heldout_off
100,,,2.357446998357773,1.3246530294418335
200,,,2.357446998357773,1.3246530294418335
300,1.0,0.0,2.357446998357773,1.3246530294418335
400,1.0,0.0,2.357446998357773,1.3246530294418335
500,1.0,0.0,2.357446998357773,1.3246530294418335
600,1.0,0.0,2.357446998357773,1.3246530294418335
700,1.0,0.0,2.357446998357773,1.3246530294418335
800,1.0,0.0,2.357446998357773,1.3246530294418335
900,1.0,0.0,2.357446998357773,1.3246530294418335
1000,1.0,0.0,2.357446998357773,1.3246530294418335
1100,1.0,0.0,2.357446998357773,1.3246530294418335
1200,1.0,0.0,2.357446998357773,1.3246530294418335
1300,1.0,0.0,2.357446998357773,1.3246530294418335
1400,1.0,0.0,2.357446998357773,1.3246530294418335
1500,1.0,0.0,2.357446998357773,1.3246530294418335
1600,1.0,0.0,2.357446998357773,1.3246530294418335
1700,1.0,0.0,2.357446998357773,1.3246530294418335
1800,1.0,0.0,2.357446998357773,1.3246530294418335
1900,1.0,0.0,2.357446998357773,1.3246530294418335
2000,1.0,0.0,2.357446998357773,1.3246530294418335
2100,1.0,0.0,2.357446998357773,1.3246530294418335
2200,1.0,0.0,2.357446998357773,1.3246530294418335
2300,1.0,0.0,2.357446998357773,1.3246530294418335
2400,1.0,0.0,2.357446998357773,1.3246530294418335
2500,1.0,0.0,2.357446998357773,1.3246530294418335
2600,1.0,0.0,2.357446998357773,1.3246530294418335
2700,1.0,0.0,2.357446998357773,1.3246530294418335
2800,1.0,0.0,2.357446998357773,1.3246530294418335
2900,1.0,0.0,2.357446998357773,1.3246530294418335
3000,1.0,0.0,2.357446998357773,1.3246530294418335
3100,1.0,0.0,2.357446998357773,1.3246530294418335
3200,1.0,0.0,2.357446998357773,1.3246530294418335
3300,1.0,0.0,2.357446998357773,1.3246530294418335
3400,1.0,0.0,2.357446998357773,1.3246530294418335
3500,1.0,0.0,2.357446998357773,1.3246530294418335
3600,1.0,0.0,2.357446998357773,1.3246530294418335
3700,1.0,0.0,2.357446998357773,1.3246530294418335
3800,1.0,0.0,2.357446998357773,1.3246530294418335
3900,1.0,0.0,2.357446998357773,1.3246530294418335
4000,1.0,0.0,2.357446998357773,1.3246530294418335
4100,1.0,0.0,2.357446998357773,1.3246530294418335
4200,1.0,0.0,2.357446998357773,1.3246530294418335
4300,1.0,0.0,2.357446998357773,1.3246530294418335
4400,1.0,0.0,2.357446998357773,1.3246530294418335
4500,1.0,0.0,2.357446998357773,1.3246530294418335
4600,1.0,0.0,2.357446998357773,1.3246530294418335
4700,1.0,0.0,2.357446998357773,1.3246530294418335
4800,1.0,0.0,2.357446998357773,1.3246530294418335
4900,1.0,0.0,2.357446998357773,1.3246530294418335
5000,1.0,0.0,2.357446998357773,1.3246530294418335
