t,ce
1,1.9959713220596313
2,2.6502163410186768
3,2.654136896133423
4,2.5479674339294434
5,2.589662551879883
6,2.5666887760162354
7,2.676548480987549
8,2.447295904159546
9,2.119805335998535
10,2.2793445587158203
11,2.62408709526062
12,2.413154363632202
13,2.433913230895996
14,2.992501735687256
15,2.641958475112915
16,3.0315256118774414
17,2.594653606414795
18,2.3555686473846436
19,2.606268882751465
20,2.6656434535980225
21,2.9085965156555176
22,2.78944730758667
23,2.905181646347046
24,2.2944257259368896
25,2.381052255630493
26,2.4295780658721924
27,2.367426872253418
28,2.1528944969177246
29,2.324281930923462
30,2.0410213470458984
31,2.0780205726623535
32,2.009603500366211
33,2.097663402557373
34,2.3497824668884277
35,2.210362195968628
36,2.067883253097534
37,2.331336498260498
38,2.134046792984009
39,2.1179580688476562
40,2.8937935829162598
41,2.7803378105163574
42,2.8665146827697754
43,2.3572778701782227
44,2.5784270763397217
45,2.1103193759918213
46,2.4205617904663086
47,2.3046987056732178
48,2.5694820880889893
49,2.110874652862549
50,2.642167568206787
51,2.4130032062530518
52,2.357569694519043
53,2.3955190181732178
54,2.1552538871765137
55,2.127147674560547
56,2.1242921352386475
57,2.5188426971435547
58,2.4589345455169678
59,2.3432071208953857
60,1.9752886295318604
61,2.1215732097625732
62,2.0957138538360596
63,2.2287676334381104
64,2.3141770362854004
65,1.868675708770752
66,1.995546579360962
67,2.104342460632324
68,1.8821181058883667
69,1.8189610242843628
70,1.9992868900299072
71,1.9293360710144043
72,1.9560688734054565
73,2.11428165435791
74,1.9827024936676025
75,1.9661884307861328
76,1.4293509721755981
77,1.5360735654830933
78,1.6565322875976562
79,1.769274353981018
80,1.723433017730713
81,2.034667491912842
82,1.6316834688186646
83,2.020768404006958
84,1.6323479413986206
85,1.7978531122207642
86,1.8608133792877197
87,2.0852341651916504
88,1.9758660793304443
89,1.6225836277008057
90,1.7796697616577148
91,2.346269369125366
92,2.4688687324523926
93,2.3823206424713135
94,2.7344040870666504
95,2.7136616706848145
96,2.440981388092041
97,2.4795901775360107
98,2.1749093532562256
99,2.225250720977783
100,2.5639421939849854
101,2.392651319503784
102,2.4067320823669434
103,2.497607707977295
104,2.4921343326568604
105,2.7321784496307373
106,2.1211955547332764
107,2.148224115371704
108,2.5788607597351074
109,2.6866278648376465
110,2.79435396194458
111,1.990366816520691
112,1.7302885055541992
113,1.8654005527496338
114,2.0749990940093994
115,2.2850656509399414
116,2.443195343017578
117,2.467900276184082
118,2.471407175064087
119,2.3756256103515625
120,2.3419435024261475
121,2.347303628921509
122,2.494807004928589
123,2.7506654262542725
124,2.61664080619812
125,2.5074613094329834
126,2.576190233230591
127,2.395188808441162
128,2.7144775390625
129,2.537792444229126
130,2.634984254837036
131,2.320913791656494
132,2.4630956649780273
133,2.2637202739715576
134,2.406888961791992
135,2.3269846439361572
136,2.2081453800201416
137,2.1772289276123047
138,2.4080209732055664
139,2.402846336364746
140,2.261298656463623
141,2.1287524700164795
142,2.2998948097229004
143,2.109194755554199
144,2.3228347301483154
145,2.2492167949676514
146,2.2129628658294678
147,2.377779245376587
148,2.638688325881958
149,2.5612313747406006
150,2.340797185897827
151,2.5055205821990967
152,2.4874889850616455
153,2.4932632446289062
154,2.255345106124878
155,2.0430538654327393
156,2.379437208175659
157,2.6746456623077393
158,2.581357479095459
159,2.65054988861084
160,2.3204915523529053
161,2.6497955322265625
162,2.606698751449585
163,1.6078217029571533
164,2.162797689437866
165,2.102426767349243
166,2.368089437484741
167,1.9311141967773438
168,1.8582361936569214
169,1.996383786201477
170,1.8619496822357178
171,2.223738193511963
172,2.66135835647583
173,2.5822064876556396
174,2.1972687244415283
175,1.992913007736206
176,2.2384376525878906
177,1.7914111614227295
178,1.9587347507476807
179,2.5107924938201904
180,1.9930421113967896
181,2.299973249435425
182,2.3337416648864746
183,2.6397764682769775
184,2.4403157234191895
185,2.697970151901245
186,2.8888237476348877
187,2.6819896697998047
188,2.8164875507354736
189,2.7822091579437256
190,2.7088451385498047
191,2.7152318954467773
192,2.938905954360962
193,2.5994060039520264
194,1.9444355964660645
195,2.1644179821014404
196,2.626265525817871
