t,ce,conservation,gate_open,updated
1,3.5172712802886963,0.12359321117401123,1,1
2,3.4543545246124268,0.3721221089363098,1,1
3,3.477905750274658,0.45183491706848145,1,1
4,3.902743101119995,0.0030471384525299072,1,1
5,4.271913051605225,0.00793248787522316,1,1
6,4.1195197105407715,0.02200414054095745,1,1
7,4.193431377410889,0.029114797711372375,1,1
8,3.024920701980591,0.0036624670028686523,1,1
9,3.3290252685546875,0.07171248644590378,1,1
10,3.5972139835357666,0.036389969289302826,1,1
11,3.6906557083129883,0.15056537091732025,1,1
12,3.1191463470458984,0.0486903116106987,1,1
13,3.182433843612671,0.2185196429491043,1,1
14,3.9506053924560547,0.07106786221265793,1,1
15,3.658535957336426,0.0002278104511788115,1,1
16,3.504336357116699,0.14116786420345306,1,1
17,3.9395930767059326,0.1779107302427292,1,1
18,3.878875255584717,0.26446932554244995,1,1
19,3.117027997970581,0.07194527238607407,1,1
20,3.082463502883911,0.0032606429886072874,1,1
21,4.010087966918945,0.01824088767170906,1,1
22,3.682751417160034,0.0028141781222075224,1,1
23,3.390929937362671,0.10736977308988571,1,1
24,3.7740745544433594,0.5891079306602478,1,1
25,3.4110195636749268,0.19918988645076752,1,1
26,3.795758008956909,0.0009258658974431455,1,1
27,4.457847595214844,0.0023704045452177525,1,1
28,3.548370122909546,0.019446248188614845,1,1
29,3.9247496128082275,0.10755958408117294,1,1
30,4.102928638458252,0.02307915687561035,1,1
31,3.9082252979278564,0.0061179534532129765,1,1
32,3.483436107635498,0.049202725291252136,1,1
33,3.434154510498047,0.00011557676043594256,1,1
34,3.278433322906494,0.0759814903140068,1,1
35,3.251338243484497,0.02292693592607975,1,1
36,3.6888785362243652,0.24957790970802307,1,1
37,3.787383794784546,0.00494399992749095,1,1
38,3.553412675857544,0.027293354272842407,1,1
39,3.9464073181152344,0.22983220219612122,1,1
40,4.102281093597412,0.06679650396108627,1,1
41,4.082120418548584,0.3827224671840668,1,1
42,3.789778709411621,0.035781338810920715,1,1
43,3.8437860012054443,0.2919480502605438,1,1
44,4.130762100219727,0.016792787238955498,1,1
45,3.507530927658081,0.6597723960876465,1,1
46,3.7652719020843506,0.6393329501152039,1,1
47,3.18976092338562,0.5438512563705444,1,1
48,3.11891770362854,0.13420000672340393,1,1
49,3.6274213790893555,0.17447565495967865,1,1
50,3.9319827556610107,0.17614850401878357,1,1
51,2.6566102504730225,9.918808791553602e-05,0,0
52,3.143935203552246,0.04038965702056885,1,1
53,3.4500415325164795,0.002950955182313919,0,0
54,3.397660493850708,0.0007068761624395847,1,1
55,3.648851156234741,0.08703441917896271,0,0
56,3.496652126312256,0.04776629060506821,0,0
57,3.4518699645996094,0.3085293173789978,0,0
58,3.6752524375915527,0.05360395461320877,0,0
59,3.011215925216675,0.09248677641153336,0,0
60,2.670830488204956,0.23304489254951477,0,0
61,3.1037139892578125,0.0006634333403781056,0,0
62,2.8415634632110596,0.04091891646385193,1,1
63,2.7678980827331543,0.009828669019043446,0,0
64,3.120055675506592,0.1532735824584961,1,1
65,2.9237120151519775,0.05177867040038109,1,1
66,3.3188681602478027,0.025361403822898865,0,0
67,3.2205753326416016,0.09740475565195084,1,1
68,3.406236410140991,0.03209889307618141,1,1
69,3.217635154724121,0.0361693911254406,1,1
70,3.031085968017578,0.1555108278989792,0,0
71,2.4616808891296387,0.0989711657166481,1,1
72,2.972215175628662,0.006897676270455122,0,0
73,3.160839557647705,0.02535218372941017,0,0
74,3.2808468341827393,0.4244973361492157,0,0
75,3.611926317214966,0.08450775593519211,0,0
76,2.9180495738983154,0.0003408239281270653,0,0
77,3.5576720237731934,0.5446343421936035,1,1
78,3.8754489421844482,0.28912869095802307,1,1
79,3.780425548553467,0.06784816831350327,1,1
80,3.731567144393921,0.07918544858694077,0,0
81,3.486619710922241,0.25375106930732727,0,0
82,3.878767251968384,0.00016998509818222374,1,1
83,3.7865991592407227,0.013502843677997589,0,0
84,3.38021183013916,0.3864809572696686,1,1
