t,cka,drift,heldout_ce
100,,,3.616361051797867
200,,,3.616361051797867
300,1.0,0.0,3.616361051797867
400,1.0,0.0,3.616361051797867
500,1.0,0.0,3.616361051797867
600,1.0,0.0,3.616361051797867
700,1.0,0.0,3.616361051797867
800,1.0,0.0,3.616361051797867
900,1.0,0.0,3.616361051797867
1000,1.0,0.0,3.616361051797867
1100,1.0,0.0,3.616361051797867
1200,1.0,0.0,3.616361051797867
1300,1.0,0.0,3.616361051797867
1400,1.0,0.0,3.616361051797867
1500,1.0,0.0,3.616361051797867
1600,1.0,0.0,3.616361051797867
1700,1.0,0.0,3.616361051797867
1800,1.0,0.0,3.616361051797867
1900,1.0,0.0,3.616361051797867
2000,1.0,0.0,3.616361051797867
2100,1.0,0.0,3.616361051797867
2200,1.0,0.0,3.616361051797867
2300,1.0,0.0,3.616361051797867
2400,1.0,0.0,3.616361051797867
2500,1.0,0.0,3.616361051797867
2600,1.0,0.0,3.616361051797867
2700,1.0,0.0,3.616361051797867
2800,1.0,0.0,3.616361051797867
2900,1.0,0.0,3.616361051797867
3000,1.0,0.0,3.616361051797867
3100,1.0,0.0,3.616361051797867
3200,1.0,0.0,3.616361051797867
3300,1.0,0.0,3.616361051797867
3400,1.0,0.0,3.616361051797867
3500,1.0,0.0,3.616361051797867
3600,1.0,0.0,3.616361051797867
3700,1.0,0.0,3.616361051797867
3800,1.0,0.0,3.616361051797867
3900,1.0,0.0,3.616361051797867
4000,1.0,0.0,3.616361051797867
4100,1.0,0.0,3.616361051797867
4200,1.0,0.0,3.616361051797867
4300,1.0,0.0,3.616361051797867
4400,1.0,0.0,3.616361051797867
4500,1.0,0.0,3.616361051797867
4600,1.0,0.0,3.616361051797867
4700,1.0,0.0,3.616361051797867
4800,1.0,0.0,3.616361051797867
4900,1.0,0.0,3.616361051797867
5000,1.0,0.0,3.616361051797867
5100,1.0,0.0,3.616361051797867
5200,1.0,0.0,3.616361051797867
5300,1.0,0.0,3.616361051797867
5400,1.0,0.0,3.616361051797867
5500,1.0,0.0,3.616361051797867
5600,1.0,0.0,3.616361051797867
5700,1.0,0.0,3.616361051797867
5800,1.0,0.0,3.616361051797867
5900,1.0,0.0,3.616361051797867
6000,1.0,0.0,3.616361051797867
6100,1.0,0.0,3.616361051797867
6200,1.0,0.0,3.616361051797867
6300,1.0,0.0,3.616361051797867
6400,1.0,0.0,3.616361051797867
6500,1.0,0.0,3.616361051797867
6600,1.0,0.0,3.616361051797867
6700,1.0,0.0,3.616361051797867
6800,1.0,0.0,3.616361051797867
6900,1.0,0.0,3.616361051797867
7000,1.0,0.0,3.616361051797867
7100,1.0,0.0,3.616361051797867
7200,1.0,0.0,3.616361051797867
7300,1.0,0.0,3.616361051797867
7400,1.0,0.0,3.616361051797867
7500,1.0,0.0,3.616361051797867
7600,1.0,0.0,3.616361051797867
7700,1.0,0.0,3.616361051797867
7800,1.0,0.0,3.616361051797867
7900,1.0,0.0,3.616361051797867
8000,1.0,0.0,3.616361051797867
8100,1.0,0.0,3.616361051797867
8200,1.0,0.0,3.616361051797867
8300,1.0,0.0,3.616361051797867
8400,1.0,0.0,3.616361051797867
8500,1.0,0.0,3.616361051797867
8600,1.0,0.0,3.616361051797867
8700,1.0,0.0,3.616361051797867
8800,1.0,0.0,3.616361051797867
8900,1.0,0.0,3.616361051797867
9000,1.0,0.0,3.616361051797867
9100,1.0,0.0,3.616361051797867
9200,1.0,0.0,3.616361051797867
9300,1.0,0.0,3.616361051797867
9400,1.0,0.0,3.616361051797867
9500,1.0,0.0,3.616361051797867
9600,1.0,0.0,3.616361051797867
9700,1.0,0.0,3.616361051797867
9800,1.0,0.0,3.616361051797867
9900,1.0,0.0,3.616361051797867
10000,1.0,0.0,3.616361051797867
