t,ce,conservation,gate_open,updated
1,4.172710418701172,0.0,1,1
2,3.837944507598877,0.0,1,1
3,3.837674140930176,0.0,1,1
4,4.927830696105957,0.0,1,1
5,4.971061706542969,0.0,1,1
6,4.901921272277832,0.0,1,1
7,5.066926956176758,0.0,1,1
8,3.3857004642486572,0.0,1,1
9,4.17404842376709,0.0,1,1
10,4.182242393493652,0.0,1,1
11,4.375926971435547,0.0,1,1
12,3.7376809120178223,0.0,1,1
13,3.896254301071167,0.0,1,1
14,4.622074127197266,0.0,1,1
15,4.421976566314697,0.0,1,1
16,4.123307704925537,0.0,1,1
17,4.845058917999268,0.0,1,1
18,4.439325332641602,0.0,1,1
19,3.60957932472229,0.0,1,1
20,3.656702756881714,0.0,1,1
21,4.6366987228393555,0.0,1,1
22,4.294458389282227,0.0,1,1
23,4.0119404792785645,0.0,1,1
24,4.590290546417236,0.0,1,1
25,4.090281009674072,0.0,1,1
26,4.7320146560668945,0.0,1,1
27,5.313547611236572,0.0,1,1
28,4.149144649505615,0.0,1,1
29,4.834874153137207,0.0,1,1
30,4.732871055603027,0.0,1,1
31,4.722455978393555,0.0,1,1
32,3.98374605178833,0.0,1,1
33,3.8305752277374268,0.0,1,1
34,3.6484296321868896,0.0,1,1
35,3.818981409072876,0.0,1,1
36,4.346828937530518,0.0,1,1
37,4.662606716156006,0.0,1,1
38,4.2169694900512695,0.0,1,1
39,4.367681980133057,0.0,1,1
40,4.568722724914551,0.0,1,1
41,4.646696090698242,0.0,1,1
42,4.233002662658691,0.0,1,1
43,4.336647987365723,0.0,1,1
44,3.82251238822937,0.0,1,1
45,3.9674365520477295,0.0,1,1
46,4.168498992919922,0.0,1,1
47,3.635396957397461,0.0,1,1
48,3.4048948287963867,0.0,1,1
49,4.266489505767822,0.0,1,1
50,4.497613906860352,0.0,1,1
51,3.097477912902832,0.0,0,0
52,3.6433372497558594,0.0,1,1
53,3.9407877922058105,0.0,0,0
54,3.354983329772949,0.0,1,1
55,3.966496706008911,0.0,0,0
56,3.8391330242156982,0.0,0,0
57,3.5572969913482666,0.0,0,0
58,3.6766374111175537,0.0,0,0
59,3.0505223274230957,0.0,0,0
60,3.3650107383728027,0.0,0,0
