t,ce,conservation,gate_open,updated
1,4.172710418701172,0.0,0,0
2,3.8435699939727783,0.0,1,1
3,3.8393101692199707,0.0,1,1
4,4.9302897453308105,0.0,1,1
5,4.988809585571289,0.0,0,0
6,4.910302639007568,0.0,1,1
7,5.0801167488098145,0.0,1,1
8,3.412799835205078,0.0,1,1
9,4.191714763641357,0.0,0,0
10,4.208134174346924,0.0,1,1
11,4.392345428466797,0.0,1,1
12,3.7471365928649902,0.0,1,1
13,3.9105663299560547,0.0,0,0
14,4.6434550285339355,0.0,0,0
15,4.498498916625977,0.0,0,0
16,4.1542534828186035,0.0,1,1
17,4.899928092956543,0.0,0,0
18,4.504415512084961,0.0,0,0
19,3.6302847862243652,0.0,0,0
20,3.6744489669799805,0.0,0,0
21,4.6553239822387695,0.0,0,0
22,4.3080573081970215,0.0,1,1
23,4.053732395172119,0.0,1,1
24,4.651689529418945,0.0,0,0
25,4.118494510650635,0.0,1,1
26,4.752673149108887,0.0,1,1
27,5.332770347595215,0.0,0,0
28,4.174058437347412,0.0,1,1
29,4.868716239929199,0.0,0,0
30,4.86757230758667,0.0,1,1
31,4.781855583190918,0.0,0,0
32,4.033546447753906,0.0,0,0
33,3.893810272216797,0.0,1,1
34,3.711068630218506,0.0,0,0
35,3.8801469802856445,0.0,1,1
36,4.407242298126221,0.0,1,1
37,4.796931266784668,0.0,1,1
38,4.304248332977295,0.0,0,0
39,4.446561336517334,0.0,0,0
40,4.594381332397461,0.0,0,0
41,4.7948784828186035,0.0,1,1
42,4.402003765106201,0.0,0,0
43,4.442062854766846,0.0,1,1
44,3.855225086212158,0.0,1,1
45,4.045816421508789,0.0,1,1
46,4.3519368171691895,0.0,0,0
47,3.891282558441162,0.0,1,1
48,3.6256966590881348,0.0,1,1
49,4.53040885925293,0.0,1,1
50,4.582735061645508,0.0,1,1
51,3.2043204307556152,0.0,0,0
52,3.677121162414551,0.0,0,0
53,4.093230247497559,0.0,0,0
54,3.383596658706665,0.0,1,1
55,4.05171537399292,0.0,0,0
56,3.9146454334259033,0.0,0,0
57,3.6294376850128174,0.0,1,1
58,3.777649402618408,0.0,1,1
59,3.1130101680755615,0.0,1,1
60,3.42834734916687,0.0,0,0
61,4.111715316772461,0.0,1,1
62,3.588358163833618,0.0,1,1
63,3.457590103149414,0.0,1,1
64,4.025819778442383,0.0,1,1
65,3.5110785961151123,0.0,1,1
66,3.967259645462036,0.0,0,0
67,3.9331867694854736,0.0,0,0
68,4.144206523895264,0.0,1,1
69,4.236056327819824,0.0,1,1
70,3.8638572692871094,0.0,0,0
71,2.8995819091796875,0.0,0,0
72,3.641831874847412,0.0,1,1
73,3.8531301021575928,0.0,1,1
74,4.455999851226807,0.0,0,0
75,4.655442237854004,0.0,0,0
76,3.6337509155273438,0.0,1,1
77,4.3582587242126465,0.0,0,0
78,4.482346534729004,0.0,1,1
79,4.190587520599365,0.0,1,1
80,4.217789173126221,0.0,0,0
81,4.184075355529785,0.0,1,1
82,4.136209964752197,0.0,1,1
83,4.322519779205322,0.0,0,0
84,3.621135711669922,0.0,1,1
85,3.3735525608062744,0.0,0,0
86,3.7383594512939453,0.0,0,0
87,3.750591993331909,0.0,1,1
88,3.709381580352783,0.0,0,0
89,2.63814115524292,0.0,1,1
90,2.986867904663086,0.0,0,0
91,3.3732359409332275,0.0,0,0
92,3.5205893516540527,0.0,1,1
93,3.852311611175537,0.0,1,1
94,4.2264604568481445,0.0,1,1
95,3.8433339595794678,0.0,0,0
96,2.9837353229522705,0.0,0,0
97,2.7135167121887207,0.0,1,1
98,3.8168845176696777,0.0,1,1
99,4.262766361236572,0.0,1,1
100,3.919142961502075,0.0,1,1
101,3.801142930984497,0.0,1,1
102,4.287801265716553,0.0,1,1
103,2.8604049682617188,0.0,1,1
104,3.933971881866455,0.0,0,0
105,3.6356446743011475,0.0,1,1
106,3.5823965072631836,0.0,0,0
107,3.909242630004883,0.0,0,0
108,3.8305842876434326,0.0,1,1
109,2.9718539714813232,0.0,1,1
110,4.001866340637207,0.0,0,0
111,3.1778931617736816,0.0,1,1
112,3.5863349437713623,0.0,1,1
113,4.523883819580078,0.0,1,1
