run,arm,edge_first10,edge_last10,drift_final,drift_auc,heldout_start,heldout_final,plast_first,plast_last,update_rate
band_0,band,0.17162679839134215,0.3572536573410034,0.3572402490325856,0.35459588758484256,3.4752941727638245,3.274156093597412,0.0566859026029221,0.0284547389381761,0.4969
band_0_r1,band,0.1730685988664627,0.35863186335563657,0.0312321293993591,0.023220096881541634,3.4474635124206543,3.2699160277843475,0.0534272781490439,0.0263442734921714,0.4965
ent_0,ent,0.16529833817481995,0.3427628288269043,0.1888463320561022,0.17764135735769992,3.456257551908493,3.304999679327011,0.0594418929626411,0.0178398796136246,0.4981
err_0,err,0.17413340830802918,0.34330005550384524,0.0290390165351129,0.02547961732408774,3.460137963294983,3.3062401711940765,0.0553722806669033,0.0184787991363438,0.4981
err_0_r1,err,0.17580652737617491,0.35087509536743167,0.0360490441994605,0.038647154785175004,3.442659765481949,3.3020734786987305,0.0509661850034997,0.0168168946031493,0.5009
excess_0,excess,0.18447765475511552,0.35343080615997313,0.0264367775108141,0.01880841725565431,3.4497342705726624,3.285959213972092,0.0497830515041471,0.0260583567825052,0.4936
excess_0_r1,excess,0.18591712015867234,0.354099276304245,0.0219859754721364,0.016815311687680884,3.460525721311569,3.28255558013916,0.053696249595659,0.0249980073622454,0.493
none_0,none,0.21712147635221482,0.4044512786865234,0.0599226146783535,0.05162077198313171,3.4766803085803986,3.2761266827583317,0.0544791979254392,0.026137694745842,1.0
rand_0,rand,0.18421613854169847,0.3678674304485321,0.0383508898539344,0.030863549722209522,3.4353915750980377,3.2579348981380463,0.051340030709337,0.0270620332324642,0.5011
rand_1,rand,0.1792520962953567,0.36101049876213076,0.0347049540163623,0.023311336856444903,3.433659821748733,3.2793294489383698,0.0583559042415698,0.0291134657112951,0.4949
rand_2,rand,0.176676613509655,0.36211927580833436,0.0406053926467345,0.026055276207119542,3.4450113475322723,3.2677485644817352,0.0523251340054288,0.02243726100528,0.4969
