arm,dwell,seed,mae,mae_A,mae_B
ADAPT,250,0,0.6920923201834472,1.2451850880607962,0.13899955230609826
ADAPT_EG,250,0,0.8411150725102052,1.2266112385516366,0.4556189064687739
ROUTED,250,0,0.8050043288016071,1.1993418920325736,0.4106667655706406
FROZGEN,250,0,0.7836908662839172,1.2582177879658216,0.30916394460201263
ADAPT,1000,0,0.6755753185514671,1.2457718072816109,0.10537882982132335
ADAPT_EG,1000,0,0.7139484450197778,1.227560350059842,0.20033653997971365
ROUTED,1000,0,0.8050043288016071,1.1993418920325736,0.4106667655706406
FROZGEN,1000,0,0.7836908662839172,1.2582177879658216,0.30916394460201263
ADAPT,4000,0,0.6477770570965949,1.2347173781630894,0.060836736030100536
ADAPT_EG,4000,0,0.6692613274801212,1.2274523528783272,0.11107030208191523
ROUTED,4000,0,0.8050043288016071,1.1993418920325736,0.4106667655706406
FROZGEN,4000,0,0.7836908662839172,1.2582177879658216,0.30916394460201263
ADAPT,250,1,0.6949155720275206,1.2473038212700436,0.14252732278499752
ADAPT_EG,250,1,0.8432527234740556,1.2268322506478677,0.45967319630024334
ROUTED,250,1,0.868600751940161,1.2073781879022718,0.5298233159780502
FROZGEN,250,1,1.0631682602129877,1.3099909325875343,0.8163455878384411
ADAPT,1000,1,0.6790350115743156,1.2388774708099664,0.11919255233866473
ADAPT_EG,1000,1,0.7289969961761963,1.2304312277932963,0.22756276455909635
ROUTED,1000,1,0.868600751940161,1.2073781879022718,0.5298233159780502
FROZGEN,1000,1,1.0631682602129877,1.3099909325875343,0.8163455878384411
ADAPT,4000,1,0.6531894779933306,1.2375076222742598,0.06887133371240149
ADAPT_EG,4000,1,0.674919792200982,1.2282755350582302,0.12156404934373374
ROUTED,4000,1,0.868600751940161,1.2073781879022718,0.5298233159780502
FROZGEN,4000,1,1.0631682602129877,1.3099909325875343,0.8163455878384411
ADAPT,250,2,0.6912217926428033,1.2457106887179736,0.13673289656763277
ADAPT_EG,250,2,0.8457864740630612,1.2279386554844678,0.4636342926416546
ROUTED,250,2,0.7992560436691468,1.2058519722900043,0.3926601150482893
FROZGEN,250,2,0.7739659256398057,1.2610760131447265,0.28685583813488486
ADAPT,1000,2,0.6878588168504648,1.2447011440824718,0.13101648961845785
ADAPT_EG,1000,2,0.7245199116397805,1.2303957812612256,0.21864404201833532
ROUTED,1000,2,0.7992560436691468,1.2058519722900043,0.3926601150482893
FROZGEN,1000,2,0.7739659256398057,1.2610760131447265,0.28685583813488486
ADAPT,4000,2,0.6544416528785757,1.2326939247579625,0.07618938099918887
ADAPT_EG,4000,2,0.6758750283550471,1.226505321312075,0.12524473539801936
ROUTED,4000,2,0.7992560436691468,1.2058519722900043,0.3926601150482893
FROZGEN,4000,2,0.7739659256398057,1.2610760131447265,0.28685583813488486
