step,adaptation_signal,complexity_metric,neurons,pattern_recognition_score,field_coherence_score,quantum_field_performance,learning_rate,batch_loss,signal_adaptations,qbe_balance,energy_balance,coherence_loss,einstein_correction,feynman_damping,scbf_symbolic_entropy_collapse,scbf_activation_ancestry_stability,scbf_collapse_phase_alignment,scbf_bifractal_lineage_strength,scbf_semantic_attractor_density,scbf_weight_drift_entropy,scbf_entropy_gradient_alignment,scbf_structural_entropy,scbf_total_collapse_events,scbf_entropy_variance,scbf_pattern_consistency,scbf_recursive_activity,scbf_entropy_momentum,scbf_top_neuron_consistency
0,1.2637591361999512,0.0,20,0.4417431095070677,0.4417431095070677,0.37048034078321584,0.01,1.3711910247802734,0,0.08268605917692184,0.0002917244150795195,0.5,1.0019607840917262,0.9923628777265548,0.0002050137317815004,0.5,-0.03272263705730438,0.5,0.0,0.9999986470367079,0.4362855851650238,2.9951181411743164,0,3.2463212846778333e-06,-0.4222534773413358,0.3,2.695606327056885,0.9734913464635611
10,1.1692713499069214,0.04544151553884148,20,0.46098428398222646,0.46098428398222646,0.3810955442405661,0.01,1.2449299097061157,0,0.07899004966020584,0.005460286992015728,0.5,1.0081224459514055,0.9926792591810226,0.0002057300064656209,0.5,-0.03272263705730438,0.5,0.0,0.999963549577191,0.4751169979572296,2.9951159954071045,0,3.2832181204867084e-06,-0.39393036864364417,0.35,2.696604395866394,0.9692918471992016
20,0.9617998600006104,0.08449996678326278,20,0.5097359931505393,0.5097359931505393,0.4103409854445167,0.01,1.0430779457092285,0,0.1149868294596672,0.03092812337544082,0.5,1.0176797166171647,0.989687156677246,0.0005715871978474452,0.5,0.277810275554657,0.5,0.25,0.999889852870813,0.7632843852043152,2.9940199851989746,0,9.125896212935913e-06,-0.19353779067190335,0.4,2.696617986679077,0.9528395533561707
30,0.603966236114502,0.12153360129711963,20,0.6234545201041335,0.6234545201041335,0.5262148726658655,0.01,0.682278037071228,0,0.1436673402786255,0.12779661459402802,0.5,1.0308070555850941,0.9874380141496658,0.001483325284528214,0.5,-0.008245657198131084,0.5,0.45,0.9997870276606182,0.9289937615394592,2.991288661956787,0,2.366916487517301e-05,-0.1611968116398783,0.45,2.6951597957611084,0.9339622631669044
40,0.19508738815784454,0.1610864048587037,22,0.8367588930391442,0.8367588930391442,0.6474164161457434,0.01,0.24669566750526428,0,0.14864195883274078,0.4082809532990127,0.5,1.0447792128422075,0.9859658539295196,0.0029280113834627697,0.5,0.1382809430360794,0.5,0.4090909090909091,0.0,0.9859189391136169,3.0819919109344482,0,3.991063931607641e-05,-0.23553735735936,0.4090909090909091,2.7777927198410035,0.9115414470434189
50,0.009789621457457542,0.19855335421992043,22,0.9903052861215509,0.9903052861215509,0.7342254857567436,0.01,0.019015125930309296,0,0.18757498264312744,0.8455841605481977,0.5,1.0542997505518172,0.9829309672117232,0.004058536470984642,0.5,0.3245978355407715,0.5,0.4090909090909091,0.9999367516837164,0.99505615234375,3.0784974098205566,0,5.5342337873298675e-05,-0.12279717182469319,0.4090909090909091,2.775647668838501,0.8997829928994179
60,0.008758578449487686,0.2322718890983113,22,0.9913174681865407,0.9913174681865407,0.7360816113528645,0.01,0.009501943364739418,0,0.19527211785316467,0.8446849131658162,0.5,1.0585560160218694,0.9823571681976317,0.004641886490560743,0.5,0.3245978355407715,0.5,0.4090909090909091,0.99998395652465,0.996815025806427,3.0766942501068115,0,6.33106246823445e-05,-0.10598029736351533,0.4090909090909091,2.7750248250961302,0.8958357274532318
64,0.00419045751914382,0.2625248670485994,22,0.995827029137982,0.995827029137982,0.737542614002614,0.01,0.005840828642249107,0,0.17087280750274658,0.8942968123487005,0.5,1.0581843743022823,0.984205237030983,0.004837956271039667,0.5,-0.03030293434858322,0.5,0.4090909090909091,0.999989355771162,0.9963656663894653,3.0760881900787354,0,6.60506630083546e-05,-0.20656929116149447,0.4090909090909091,2.7684793710708617,0.8917680159211159
74,0.0005366994882933795,0.2871664824411252,22,0.999463588403536,0.999463588403536,0.7395137003475862,0.01,0.00039896994712762535,0,0.19048453867435455,0.9639361466801237,0.5,1.0569015575607905,0.9827130883932114,0.0048678835231348305,0.5,-0.01016699057072401,0.5,0.4090909090909091,0.9999887387144178,0.9951961636543274,3.075995683670044,0,6.647667032666504e-05,-0.2132181958573507,0.4090909090909091,2.7693961153030395,0.899254783987999
84,0.00043623760575428605,0.30811594391695984,22,0.9995639526145131,0.9995639526145131,0.7400725546995163,0.01,0.0006896636914461851,0,0.19704438745975494,0.968087980650719,0.5,1.0573301863998554,0.982226225733757,0.0051275872803625555,0.5,-0.01016699057072401,0.5,0.4090909090909091,0.9999989972827906,0.9956024289131165,3.075192928314209,0,7.00197706464678e-05,-0.20735322960088953,0.4090909090909091,2.7696736354827878,0.90018729865551
