step,adaptation_signal,complexity_metric,neurons,pattern_recognition_score,field_coherence_score,quantum_field_performance,learning_rate,batch_loss,signal_adaptations,qbe_balance,energy_balance,coherence_loss,einstein_correction,feynman_damping,scbf_symbolic_entropy_collapse,scbf_activation_ancestry_stability,scbf_collapse_phase_alignment,scbf_bifractal_lineage_strength,scbf_semantic_attractor_density,scbf_weight_drift_entropy,scbf_entropy_gradient_alignment,scbf_structural_entropy,scbf_total_collapse_events,scbf_entropy_variance,scbf_pattern_consistency,scbf_recursive_activity,scbf_entropy_momentum,scbf_top_neuron_consistency
0,0.9124128818511963,0.0,22,0.5228996361036902,0.5228996361036902,0.4151213279906455,0.01,1.0,0,0.08244068175554276,0.00040000998589495573,0.5,1.0019607842707579,0.9916891515254974,0.00019799808280474007,0.5,-0.03030293434858322,0.5,0.0,0.9999987658865115,0.4671303331851959,3.090430498123169,0,2.657411414475064e-06,-0.41489729765488303,0.3181818181818182,2.781387448310852,0.9751581083983183
10,0.8002680540084839,0.04541029178537428,22,0.5554728351555182,0.5554728351555182,0.43261871533229107,0.01,0.859138011932373,0,0.07147395610809326,0.007820049809695195,0.5,1.0081842542675103,0.9927133589982986,0.0001101446288449548,0.5,-0.01016687136143446,0.5,0.0,0.9999561889711597,0.4067791998386383,3.0907020568847656,0,1.4825008065599832e-06,-0.25849904099688104,0.36363636363636365,2.782631851196289,0.9808731004595757
20,0.5992485284805298,0.0842192672186531,22,0.6252936814955928,0.6252936814955928,0.4734731468970452,0.01,0.6598207950592041,0,0.11197938024997711,0.046510928837994014,0.5,1.0179728109306312,0.9890417218208313,0.00041651330235503714,0.5,0.3245978355407715,0.5,0.18181818181818182,0.9999001139395278,0.7450370192527771,3.089755058288574,0,5.6145249800465535e-06,-0.13310677620144862,0.4090909090909091,2.7827795524597168,0.9715392496436834
30,0.3053707480430603,0.1202938803056562,22,0.7660658870279916,0.7660658870279916,0.6041019224056356,0.01,0.3571861684322357,0,0.1410074084997177,0.1952568752921291,0.5,1.0311509656407238,0.9865882009267807,0.0011889140819445476,0.5,0.02398066036403179,0.5,0.45454545454545453,0.999817505467894,0.928901731967926,3.087367534637451,0,1.6034104191930965e-05,-0.130463905789445,0.45454545454545453,2.7816307811737064,0.9705209899693727
40,0.04537844657897949,0.15728591172853548,24,0.9565913696351007,0.9565913696351007,0.7125831803634269,0.01,0.06724879145622253,0,0.14868780970573425,0.6151194936680562,0.5,1.0447298660448678,0.9849007070064544,0.0024200050953793184,0.5,0.18019889295101166,0.5,0.4166666666666667,0.0,0.9863730669021606,3.170362949371338,1,2.8258864404051565e-05,-0.20185918311128637,0.4166666666666667,2.857326654434204,0.9710313342511654
50,0.0034204290714114904,0.19381286734399342,24,0.9965912303832832,0.9965912303832832,0.7356750339513597,0.01,0.002404379891231656,0,0.16266384720802307,0.878080266732516,0.5,1.0524119676701673,0.9837213426828384,0.003346355858530936,0.5,-0.033778008073568344,0.5,0.4166666666666667,0.9999529622668857,0.9938808679580688,3.167418956756592,0,3.911628300556913e-05,-0.19620715632617536,0.4166666666666667,2.8556770610809328,0.9710397031158209
60,0.0001010923515423201,0.2211973425506183,24,0.9998989178670882,0.9998989178670882,0.7369486777051184,0.01,2.1881555767322425e-07,0,0.16678522527217865,0.979832622689949,0.5,1.050910595701922,0.9833802282810211,0.00283186658628487,0.5,0.05795051157474518,0.5,0.4166666666666667,0.9999789943137607,0.9914021492004395,3.1690540313720703,0,3.305440623080358e-05,-0.14736828465645857,0.4166666666666667,2.858148628234863,0.9707594700157642
64,0.0010351963574066758,0.24289405355597424,24,0.9989658741658899,0.9989658741658899,0.7362772383669919,0.01,0.0011280050966888666,0,0.16597701609134674,0.9364358397457999,0.5,1.0504197349669442,0.9834468811750412,0.0027948065541342215,0.5,-0.01134137250483036,0.5,0.4166666666666667,0.9999996248984601,0.9908287525177002,3.1691718101501465,0,3.262380778323859e-05,-0.15489823198178798,0.4166666666666667,2.852254629135132,0.9707013871520758
74,8.354858437087387e-05,0.26237218864652867,24,0.9999164583954119,0.9999164583954119,0.7368403559368484,0.01,3.171319258399308e-05,0,0.15631583333015442,0.9816632681260886,0.5,1.0516542327115175,0.9842526465654373,0.003051300987177208,0.5,0.1119024008512497,0.5,0.4166666666666667,0.9999886719334924,0.9921289682388306,3.1683566570281982,0,3.56570199073758e-05,-0.20402135571188484,0.4166666666666667,2.8525209913253784,0.970674330368638
84,2.9149077818146907e-07,0.27848531895074863,24,0.9999997085093068,0.9999997085093068,0.7366307045070019,0.01,7.382835519820219e-06,0,0.1537742018699646,0.9989338850611187,0.5,1.0516257204725203,0.984467402100563,0.002950848794768701,0.5,0.2643241882324219,0.5,0.4166666666666667,0.9999988746953801,0.9913356900215149,3.1686758995056152,0,3.448117058724165e-05,-0.21001501042492854,0.4166666666666667,2.8538083095550535,0.9706440772861242
