step,adaptation_signal,complexity_metric,neurons,pattern_recognition_score,field_coherence_score,quantum_field_performance,learning_rate,batch_loss,signal_adaptations,qbe_balance,energy_balance,coherence_loss,einstein_correction,feynman_damping,scbf_symbolic_entropy_collapse,scbf_activation_ancestry_stability,scbf_collapse_phase_alignment,scbf_bifractal_lineage_strength,scbf_semantic_attractor_density,scbf_weight_drift_entropy,scbf_entropy_gradient_alignment,scbf_structural_entropy,scbf_total_collapse_events,scbf_entropy_variance,scbf_pattern_consistency,scbf_recursive_activity,scbf_entropy_momentum,scbf_top_neuron_consistency
0,0.07463476061820984,0.019429264962673182,40,0.9305487191059459,0.9305487191059459,0.6402323209733144,0.01,0.24352483451366425,0,0.10214124619960785,0.2383124233526689,0.5,1.0213307623261403,0.9518814917653798,0.0001759107140701932,0.5,0.01844964735209942,-1.043311595916748,0.04375,0.999999008022289,0.999849796295166,5.767306327819824,0,1.9850265431387015e-08,-0.3154612311734395,0.39375,5.190575695037842,0.9840253759175539
10,0.0006890940712764859,0.11750726638734338,40,0.9993113804523711,0.9993113804523711,0.6788957144558045,0.01,1.3847982245351886e-06,0,0.11389937251806259,0.9300273524159598,0.5,1.0453682480125217,0.9512857706286013,0.0002508876960540807,0.5,0.04017304256558418,-1.043311595916748,0.11875,0.9999855336583824,0.999991238117218,5.766873836517334,0,2.8181036171304186e-08,-0.27034989371031903,0.403125,5.191186452865601,0.9852014584466815
20,0.0027355430647730827,0.20258878467664118,40,0.9972719197163271,0.9972719197163271,0.6778242483105966,0.01,0.0027817818336188793,0,0.11605598777532578,0.8583550493947936,0.5,1.0461728945946533,0.9511989209800958,0.00026353541186829865,0.5,0.0006155529990792274,-1.043311595916748,0.125,0.9999970240668672,0.9999914169311523,5.766800880432129,0,2.955146705119205e-08,-0.28979508278055754,0.3875,5.192120792388916,0.9845599066466093
30,0.029183462262153625,0.25642290817230784,40,0.9716440621791491,0.9716440621791491,0.7136088265045715,0.01,0.03488711640238762,0,0.11523941904306412,0.25301966336356085,0.5,1.0423341496570582,0.9512310977093875,0.00025212766819271426,0.5,-0.0016918610781431198,-1.043311595916748,0.11875,0.9999976853853412,0.999986469745636,5.766866683959961,0,2.825859546362608e-08,-0.297166471372988,0.378125,5.193180015563965,0.9853603532537818
40,0.2126995027065277,0.27990379091391143,40,0.8246065886628793,0.8246065886628793,0.6326697905276905,0.01,0.23831817507743835,0,0.11325660347938538,0.29668617373153094,0.5,1.036388530230358,0.9513128436170518,0.00024832508696748246,0.5,-0.0024601633194833994,-1.043311595916748,0.11875,0.9999985946982428,0.9999852180480957,5.766888618469238,0,2.783851726917419e-08,-0.3082689291665459,0.378125,5.194199756622314,0.986238925717771
50,0.008542378433048725,0.3136975092350864,40,0.9915299757196908,0.9915299757196908,0.724529097279774,0.01,0.009396446868777275,0,0.11326868832111359,0.7726759172663552,0.5,1.041372993478358,0.9513123294338584,0.0002549382717069726,0.5,-0.0024601633194833994,-1.043311595916748,0.121875,0.9999986773630521,0.9999885559082031,5.766850471496582,0,2.8570783072723316e-08,-0.3101255541164101,0.3875,5.195165424346924,0.9883342515677214
60,0.3392350673675537,0.31440091285647287,40,0.7466949039541163,0.7466949039541163,0.5898277297325127,0.01,0.36771318316459656,0,0.11167754232883453,0.18163421701225702,0.5,1.0309196121254305,0.9513817803934216,0.0002530369810943567,0.5,-0.0016918610781431198,-1.043311595916748,0.11875,0.999999008022289,0.9999886155128479,5.766861438751221,0,2.835635903863931e-08,-0.3185558650283513,0.384375,5.196175294876099,0.9893323369324207
64,0.00012111623800592497,0.32179127399492735,40,0.9998788984293607,0.9998788984293607,0.7290916043860447,0.01,8.715968579053879e-05,0,0.11186183243989944,0.9585753592016014,0.5,1.0352248774348223,0.9513735530897974,0.0002547729420885325,0.5,-0.0016918610781431198,-1.043311595916748,0.115625,0.9999985946982428,0.9999891519546509,5.766851425170898,0,2.8550321218290264e-08,-0.31887208906585895,0.378125,5.190166282653808,0.9874700093641877
74,0.2158142477273941,0.3311217937284555,40,0.8224940626162301,0.8224940626162301,0.6314153453425804,0.01,0.22944457828998566,0,0.10975340008735657,0.29239989885327156,0.5,1.0362202719755818,0.9514706573449074,0.0002462584667364265,0.5,-0.0013537838822230697,-1.043311595916748,0.10625,0.9999975200557227,0.9999857544898987,5.766900539398193,0,2.762043394000102e-08,-0.3324884009489468,0.378125,5.191210485458375,0.9838310815393925
84,0.021442482247948647,0.3462672008936818,40,0.9790076459315077,0.9790076459315077,0.7175854773764109,0.01,0.024019410833716393,0,0.1111631914973259,0.6549685128524876,0.5,1.039383900944229,0.951405002363026,0.00025650890308259733,0.5,-0.0023372590076178312,-1.043311595916748,0.121875,0.9999981813741966,0.9999890923500061,5.766841411590576,0,2.8756602432622458e-08,-0.3320531614338422,0.3625,5.192157270431519,0.9834334123879671
94,0.027287552133202553,0.3358162180911327,40,0.9734372794875799,0.9734372794875799,0.7144285718409419,0.01,0.029453929513692856,0,0.10891520977020264,0.4748916469656699,0.5,1.0276808165371674,0.9515111274085939,0.00025022637758009836,0.5,-0.0024295267648994923,-1.043311595916748,0.121875,0.9999988426926706,0.9999867081642151,5.7668776512146,0,2.8062114409976857e-08,-0.3456244287495458,0.359375,5.19318988609314,0.981943603605032
104,0.16111738979816437,0.34825355494300203,40,0.8612393620026901,0.8612393620026901,0.652786473594813,0.01,0.18245932459831238,0,0.1093020811676979,0.36410248575876025,0.5,1.038789718629332,0.9514923128299415,0.00025849285850443326,0.5,-0.0024601633194833994,-1.043311595916748,0.13125,0.9999982640390059,0.9999898672103882,5.766829967498779,0,2.8978385913092097e-08,-0.34515439051178465,0.3625,5.194146970748901,0.9821966495364904
114,0.02212824858725071,0.36971181704865436,40,0.9783508100692495,0.9783508100692495,0.7172111449315823,0.01,0.024802090600132942,0,0.1088557243347168,0.36047603750355817,0.5,1.0415612126660305,0.9515140413306653,0.0002610554675910315,0.5,-0.0016918610781431198,-1.043311595916748,0.13125,0.9999988426926706,0.9999907612800598,5.766815185546875,0,2.9279076940724735e-08,-0.3473480574184753,0.3625,5.195133666992188,0.9839692059904337
124,0.019557878375053406,0.3588954719916572,40,0.980817294643219,0.980817294643219,0.7182544647209348,0.01,0.020707521587610245,0,0.10304258018732071,0.5418535775187324,0.5,1.0290203637476545,0.9518274389207363,0.0002340240749684197,0.5,3.0593077099183574e-05,-1.043311595916748,0.115625,0.9999980160445782,0.9999786019325256,5.766971111297607,0,2.627161599377814e-08,-0.37802594984266213,0.359375,5.196274000167847,0.9841819126158953
128,0.9005345106124878,0.3631970895869163,48,0.5261677672339287,0.5261677672339287,0.46816613687834885,0.01,0.9547492265701294,0,0.09031403064727783,0.4476664068125227,0.5,1.0351039510922873,0.9515441737137734,0.00019103479477622365,0.5,0.0005341331125237048,-1.0918749173482258,0.09114583333333333,0.0,0.9999844431877136,5.949505805969238,0,1.5305927192343916e-08,-0.48176191629449594,0.3229166666666667,5.354555225372315,0.9839135985821486
